time,wx (rad/s)
"12,573","-0,87"
"12,574","-0,87"
"12,578","-0,87"
"12,582","-0,87"
"12,585","-0,87"
"12,585","-0,87"
"12,587","-0,87"
"12,59","-0,87"
"12,593","-0,87"
"12,596","-0,87"
"12,597","-0,87"
"12,6","-0,87"
"12,603","-0,87"
"12,606","-0,87"
"12,608","-0,87"
"12,609","-0,87"
"12,612","-0,87"
"12,615","-0,87"
"12,62","-0,86"
"12,621","-0,86"
"12,621","-0,86"
"12,624","-0,86"
"12,627","-0,86"
"12,633","-0,86"
"12,633","-0,86"
"12,634","-0,86"
"12,64","-0,86"
"12,649","-0,85"
"12,65","-0,85"
"12,65","-0,85"
"12,65","-0,85"
"12,652","-0,85"
"12,655","-0,84"
"12,655","-0,84"
"12,658","-0,83"
"12,661","-0,83"
"12,663","-0,83"
"12,663","-0,83"
"12,666","-0,83"
"12,671","-0,83"
"12,674","-0,82"
"12,678","-0,82"
"12,678","-0,81"
"12,681","-0,81"
"12,684","-0,81"
"12,687","-0,81"
"12,688","-0,8"
"12,695","-0,8"
"12,695","-0,8"
"12,696","-0,79"
"12,696","-0,78"
"12,702","-0,78"
"12,705","-0,78"
"12,708","-0,77"
"12,708","-0,77"
"12,712","-0,77"
"12,714","-0,76"
"12,718","-0,76"
"12,719","-0,75"
"12,722","-0,75"
"12,724","-0,75"
"12,728","-0,74"
"12,728","-0,73"
"12,731","-0,73"
"12,735","-0,73"
"12,737","-0,72"
"12,737","-0,72"
"12,74","-0,71"
"12,744","-0,71"
"12,748","-0,7"
"12,748","-0,7"
"12,751","-0,69"
"12,754","-0,69"
"12,757","-0,68"
"12,758","-0,68"
"12,76","-0,67"
"12,764","-0,67"
"12,768","-0,66"
"12,769","-0,66"
"12,774","-0,65"
"12,775","-0,65"
"12,777","-0,64"
"12,778","-0,64"
"12,78","-0,63"
"12,782","-0,63"
"12,794","-0,62"
"12,796","-0,62"
"12,796","-0,61"
"12,797","-0,6"
"12,797","-0,6"
"12,799","-0,6"
"12,801","-0,59"
"12,802","-0,59"
"12,818","-0,58"
"12,82","-0,57"
"12,82","-0,57"
"12,821","-0,56"
"12,822","-0,56"
"12,823","-0,55"
"12,824","-0,55"
"12,824","-0,54"
"12,825","-0,54"
"12,828","-0,53"
"12,83","-0,53"
"12,834","-0,52"
"12,839","-0,51"
"12,84","-0,5"
"12,843","-0,5"
"12,844","-0,49"
"12,848","-0,49"
"12,85","-0,48"
"12,851","-0,47"
"12,853","-0,47"
"12,856","-0,46"
"12,86","-0,46"
"12,862","-0,45"
"12,862","-0,44"
"12,867","-0,44"
"12,873","-0,43"
"12,875","-0,42"
"12,875","-0,42"
"12,876","-0,41"
"12,88","-0,4"
"12,882","-0,4"
"12,882","-0,39"
"12,888","-0,38"
"12,89","-0,37"
"12,892","-0,37"
"12,893","-0,36"
"12,895","-0,35"
"12,9","-0,35"
"12,901","-0,34"
"12,902","-0,33"
"12,904","-0,32"
"12,908","-0,32"
